REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
R1,MINGASINT,2,2041,0.839414941
R1,MINGASINT,1,2042,0.839414941
R1,MINGASINT,2,2042,0.839414941
R1,MINGASINT,1,2043,0.839414941
R1,MINGASINT,2,2043,0.839414941
R1,MINGASINT,1,2044,0.839414941
R1,MINGASINT,2,2044,0.839414941
R1,MINGASINT,1,2045,0.839414941
R1,MINGASINT,2,2045,0.839414941
R1,MINGASINT,1,2046,0.839414941
R1,MINGASINT,2,2046,0.839414941
R1,MINGASINT,1,2047,0.839414941
R1,MINGASINT,2,2047,0.839414941
R1,MINGASINT,1,2048,0.839414941
R1,MINGASINT,2,2048,0.839414941
R1,MINGASINT,1,2049,0.839414941
R1,MINGASINT,2,2049,0.839414941
R1,MINGASINT,1,2050,0.839414941
R1,MINGASINT,2,2050,0.839414941
R1,MINGASINT,1,2051,0.839414941
R1,MINGASINT,2,2051,0.839414941
R1,MINGASINT,1,2052,0.839414941
R1,MINGASINT,2,2052,0.839414941
R1,MINGASINT,1,2053,0.839414941
R1,MINGASINT,2,2053,0.839414941
R1,MINGASINT,1,2054,0.839414941
R1,MINGASINT,2,2054,0.839414941
R1,MINGASINT,1,2055,0.839414941
R1,MINGASINT,2,2055,0.839414941
R1,MINGASINT,1,2056,0.839414941
R1,MINGASINT,2,2056,0.839414941
R1,MINGASINT,1,2057,0.839414941
R1,MINGASINT,2,2057,0.839414941
R1,MINGASINT,1,2058,0.839414941
R1,MINGASINT,2,2058,0.839414941
R1,MINGASINT,1,2059,0.839414941
R1,MINGASINT,2,2059,0.839414941
R1,MINGASINT,1,2060,0.839414941
R1,MINGASINT,2,2060,0.839414941
R1,MINGASINT,1,2061,0.839414941
R1,MINGASINT,2,2061,0.839414941
R1,MINGASINT,1,2062,0.839414941
R1,MINGASINT,2,2062,0.839414941
R1,MINGASINT,1,2063,0.839414941
R1,MINGASINT,2,2063,0.839414941
R1,MINGASINT,1,2064,0.839414941
R1,MINGASINT,2,2064,0.839414941
R1,MINGASINT,1,2065,0.839414941
R1,MINGASINT,2,2065,0.839414941
R1,MINGASINT,1,2066,0.839414941
R1,MINGASINT,2,2066,0.839414941
R1,MINGASINT,1,2067,0.839414941
R1,MINGASINT,2,2067,0.839414941
R1,MINGASINT,1,2068,0.839414941
R1,MINGASINT,2,2068,0.839414941
R1,MINGASINT,1,2069,0.839414941
R1,MINGASINT,2,2069,0.839414941
R1,MINGASINT,1,2070,0.839414941
R1,MINGASINT,2,2070,0.839414941
R1,MINOILNPL,1,2020,5.77733273
R1,MINOILNPL,2,2020,5.77733273
R1,MINOILNPL,1,2021,6.823794059
R1,MINOILNPL,2,2021,6.823794059
R1,MINOILNPL,1,2022,7.103273853
R1,MINOILNPL,2,2022,7.103273853
R1,MINOILNPL,1,2023,7.38989326
R1,MINOILNPL,2,2023,7.38989326
R1,MINOILNPL,1,2024,7.684447096
R1,MINOILNPL,2,2024,7.684447096
R1,MINOILNPL,1,2025,7.987553951
R1,MINOILNPL,2,2025,7.987553951
R1,MINOILNPL,1,2026,8.319519784
R1,MINOILNPL,2,2026,8.319519784
