REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S4D1,ELCNPLXX02,2021,5.7239266
GLOBAL,S4D1,ELCNPLXX02,2022,6.3910316
GLOBAL,S4D1,ELCNPLXX02,2023,7.0581367
GLOBAL,S4D1,ELCNPLXX02,2024,7.7252417
GLOBAL,S4D1,ELCNPLXX02,2025,8.3923468
GLOBAL,S4D1,ELCNPLXX02,2026,9.1767556
GLOBAL,S4D1,ELCNPLXX02,2027,9.9611519
GLOBAL,S4D1,ELCNPLXX02,2028,10.745548
GLOBAL,S4D1,ELCNPLXX02,2029,11.529957
GLOBAL,S4D1,ELCNPLXX02,2030,12.314353
GLOBAL,S4D1,ELCNPLXX02,2031,13.201799
GLOBAL,S4D1,ELCNPLXX02,2032,14.089133
GLOBAL,S4D1,ELCNPLXX02,2033,14.976467
GLOBAL,S4D1,ELCNPLXX02,2034,15.863926
GLOBAL,S4D1,ELCNPLXX02,2035,16.75126
GLOBAL,S4D1,ELCNPLXX02,2036,17.741457
GLOBAL,S4D1,ELCNPLXX02,2037,18.731654
GLOBAL,S4D1,ELCNPLXX02,2038,19.721851
GLOBAL,S4D1,ELCNPLXX02,2039,20.711924
GLOBAL,S4D1,ELCNPLXX02,2040,21.702121
GLOBAL,S4D1,ELCNPLXX02,2041,22.780878
GLOBAL,S4D1,ELCNPLXX02,2042,23.859634
GLOBAL,S4D1,ELCNPLXX02,2043,24.938391
GLOBAL,S4D1,ELCNPLXX02,2044,26.017147
GLOBAL,S4D1,ELCNPLXX02,2045,27.095903
GLOBAL,S4D1,ELCNPLXX02,2046,28.290334
GLOBAL,S4D1,ELCNPLXX02,2047,29.484889
GLOBAL,S4D1,ELCNPLXX02,2048,30.67932
GLOBAL,S4D1,ELCNPLXX02,2049,31.873875
GLOBAL,S4D1,ELCNPLXX02,2050,33.06843
GLOBAL,S4D1,ELCNPLXX02,2051,34.571823
GLOBAL,S4D1,ELCNPLXX02,2052,36.075216
GLOBAL,S4D1,ELCNPLXX02,2053,37.57861
GLOBAL,S4D1,ELCNPLXX02,2054,39.082127
GLOBAL,S4D1,ELCNPLXX02,2055,40.58552
GLOBAL,S4D1,ELCNPLXX02,2056,42.252101
GLOBAL,S4D1,ELCNPLXX02,2057,43.918807
GLOBAL,S4D1,ELCNPLXX02,2058,45.585388
GLOBAL,S4D1,ELCNPLXX02,2059,47.252093
GLOBAL,S4D1,ELCNPLXX02,2060,48.918674
GLOBAL,S4D1,ELCNPLXX02,2061,50.747697
GLOBAL,S4D1,ELCNPLXX02,2062,52.576719
GLOBAL,S4D1,ELCNPLXX02,2063,54.405742
GLOBAL,S4D1,ELCNPLXX02,2064,56.234889
